taken_at,tag,asset,downloads
"2026-08-05","v0.1","MrEditor-0.1.dmg",1
"2026-08-06","v1.11.1","MrEditor-1.11.1.dmg",4
"2026-08-06","v1.11","MrEditor-1.11.dmg",1
"2026-08-06","v1.10.3","MrEditor-1.10.3.dmg",6
"2026-08-06","v1.10.2","MrEditor-1.10.2.dmg",6
"2026-08-06","v1.10.1","MrEditor-1.10.1.dmg",5
"2026-08-06","v1.10","MrEditor-1.10.dmg",1
"2026-08-06","v1.9","MrEditor-1.9.dmg",6
"2026-08-06","v1.8","MrEditor-1.8.dmg",4
"2026-08-06","v1.7.1","MrEditor-1.7.1.dmg",7
"2026-08-06","v1.7","MrEditor-1.7.dmg",9
"2026-08-06","v1.6","MrEditor-1.6.dmg",3
"2026-08-06","v1.5","MrEditor-1.5.dmg",2
"2026-08-06","v1.4","MrEditor-1.4.dmg",4
"2026-08-06","v1.3","MrEditor-1.3.dmg",9
"2026-08-06","v1.2.1","MrEditor-1.2.1.dmg",5
"2026-08-06","v1.2","MrEditor-1.2.dmg",4
"2026-08-06","v1.1.1","MrEditor-1.1.1.dmg",3
"2026-08-06","v1.1","MrEditor-1.1.dmg",2
"2026-08-06","v1.0.3","MrEditor-1.0.3.dmg",10
"2026-08-06","v1.0.2","MrEditor-1.0.2.dmg",10
"2026-08-06","v1.0.1","MrEditor-1.0.1.dmg",1
"2026-08-06","v1.0","MrEditor-1.0.dmg",5
"2026-08-06","v0.9","MrEditor-0.9.dmg",3
"2026-08-06","v0.8","MrEditor-0.8.dmg",2
"2026-08-06","v0.7","MrEditor-0.7.dmg",7
"2026-08-06","v0.6","MrEditor-0.6.dmg",4
"2026-08-06","v0.5","MrEditor-0.5.dmg",1
"2026-08-06","v0.4","MrEditor-0.4.dmg",2
"2026-08-06","v0.3","MrEditor-0.3.dmg",3
"2026-08-06","v0.2","MrEditor-0.2.dmg",2
"2026-08-06","v0.1","MrEditor-0.1.dmg",1
"2026-08-10","v1.11.1","MrEditor-1.11.1.dmg",8
"2026-08-10","v1.11","MrEditor-1.11.dmg",1
"2026-08-10","v1.10.3","MrEditor-1.10.3.dmg",6
"2026-08-10","v1.10.2","MrEditor-1.10.2.dmg",6
"2026-08-10","v1.10.1","MrEditor-1.10.1.dmg",5
"2026-08-10","v1.10","MrEditor-1.10.dmg",1
"2026-08-10","v1.9","MrEditor-1.9.dmg",6
"2026-08-10","v1.8","MrEditor-1.8.dmg",4
"2026-08-10","v1.7.1","MrEditor-1.7.1.dmg",9
"2026-08-10","v1.7","MrEditor-1.7.dmg",11
"2026-08-10","v1.6","MrEditor-1.6.dmg",4
"2026-08-10","v1.5","MrEditor-1.5.dmg",3
"2026-08-10","v1.4","MrEditor-1.4.dmg",4
"2026-08-10","v1.3","MrEditor-1.3.dmg",9
"2026-08-10","v1.2.1","MrEditor-1.2.1.dmg",5
"2026-08-10","v1.2","MrEditor-1.2.dmg",4
"2026-08-10","v1.1.1","MrEditor-1.1.1.dmg",3
"2026-08-10","v1.1","MrEditor-1.1.dmg",2
"2026-08-10","v1.0.3","MrEditor-1.0.3.dmg",10
"2026-08-10","v1.0.2","MrEditor-1.0.2.dmg",10
"2026-08-10","v1.0.1","MrEditor-1.0.1.dmg",1
"2026-08-10","v1.0","MrEditor-1.0.dmg",5
"2026-08-10","v0.9","MrEditor-0.9.dmg",3
"2026-08-10","v0.8","MrEditor-0.8.dmg",2
"2026-08-10","v0.7","MrEditor-0.7.dmg",7
"2026-08-10","v0.6","MrEditor-0.6.dmg",4
"2026-08-10","v0.5","MrEditor-0.5.dmg",1
"2026-08-10","v0.4","MrEditor-0.4.dmg",2
"2026-08-10","v0.3","MrEditor-0.3.dmg",3
"2026-08-10","v0.2","MrEditor-0.2.dmg",2
"2026-08-10","v0.1","MrEditor-0.1.dmg",1
"2026-08-17","v1.12.1","MrEditor-1.12.1.dmg",4
"2026-08-17","v1.12","MrEditor-1.12.dmg",2
"2026-08-17","v1.11.2","MrEditor-1.11.2.dmg",4
"2026-08-17","v1.11.1","MrEditor-1.11.1.dmg",12
"2026-08-17","v1.11","MrEditor-1.11.dmg",1
"2026-08-17","v1.10.3","MrEditor-1.10.3.dmg",6
"2026-08-17","v1.10.2","MrEditor-1.10.2.dmg",6
"2026-08-17","v1.10.1","MrEditor-1.10.1.dmg",5
"2026-08-17","v1.10","MrEditor-1.10.dmg",1
"2026-08-17","v1.9","MrEditor-1.9.dmg",6
"2026-08-17","v1.8","MrEditor-1.8.dmg",4
"2026-08-17","v1.7.1","MrEditor-1.7.1.dmg",9
"2026-08-17","v1.7","MrEditor-1.7.dmg",11
"2026-08-17","v1.6","MrEditor-1.6.dmg",5
"2026-08-17","v1.5","MrEditor-1.5.dmg",3
"2026-08-17","v1.4","MrEditor-1.4.dmg",5
"2026-08-17","v1.3","MrEditor-1.3.dmg",10
"2026-08-17","v1.2.1","MrEditor-1.2.1.dmg",5
"2026-08-17","v1.2","MrEditor-1.2.dmg",4
"2026-08-17","v1.1.1","MrEditor-1.1.1.dmg",3
"2026-08-17","v1.1","MrEditor-1.1.dmg",2
"2026-08-17","v1.0.3","MrEditor-1.0.3.dmg",10
"2026-08-17","v1.0.2","MrEditor-1.0.2.dmg",10
"2026-08-17","v1.0.1","MrEditor-1.0.1.dmg",1
"2026-08-17","v1.0","MrEditor-1.0.dmg",5
"2026-08-17","v0.9","MrEditor-0.9.dmg",3
"2026-08-17","v0.8","MrEditor-0.8.dmg",2
"2026-08-17","v0.7","MrEditor-0.7.dmg",7
"2026-08-17","v0.6","MrEditor-0.6.dmg",4
"2026-08-17","v0.5","MrEditor-0.5.dmg",1
"2026-08-17","v0.4","MrEditor-0.4.dmg",2
"2026-08-17","v0.3","MrEditor-0.3.dmg",3
"2026-08-17","v0.2","MrEditor-0.2.dmg",2
"2026-08-17","v0.1","MrEditor-0.1.dmg",1
"2026-08-23T04:42Z","v1.12.5","MrEditor-1.12.5.dmg",2
"2026-08-23T04:42Z","v1.12.4","MrEditor-1.12.4.dmg",2
"2026-08-23T04:42Z","v1.12.3","MrEditor-1.12.3.dmg",9
"2026-08-23T04:42Z","v1.12.2","MrEditor-1.12.2.dmg",5
"2026-08-23T04:42Z","v1.12.1","MrEditor-1.12.1.dmg",6
"2026-08-23T04:42Z","v1.12","MrEditor-1.12.dmg",2
"2026-08-23T04:42Z","v1.11.2","MrEditor-1.11.2.dmg",4
"2026-08-23T04:42Z","v1.11.1","MrEditor-1.11.1.dmg",12
"2026-08-23T04:42Z","v1.11","MrEditor-1.11.dmg",1
"2026-08-23T04:42Z","v1.10.3","MrEditor-1.10.3.dmg",6
"2026-08-23T04:42Z","v1.10.2","MrEditor-1.10.2.dmg",6
"2026-08-23T04:42Z","v1.10.1","MrEditor-1.10.1.dmg",5
"2026-08-23T04:42Z","v1.10","MrEditor-1.10.dmg",1
"2026-08-23T04:42Z","v1.9","MrEditor-1.9.dmg",6
"2026-08-23T04:42Z","v1.8","MrEditor-1.8.dmg",4
"2026-08-23T04:42Z","v1.7.1","MrEditor-1.7.1.dmg",9
"2026-08-23T04:42Z","v1.7","MrEditor-1.7.dmg",11
"2026-08-23T04:42Z","v1.6","MrEditor-1.6.dmg",5
"2026-08-23T04:42Z","v1.5","MrEditor-1.5.dmg",3
"2026-08-23T04:42Z","v1.4","MrEditor-1.4.dmg",5
"2026-08-23T04:42Z","v1.3","MrEditor-1.3.dmg",10
"2026-08-23T04:42Z","v1.2.1","MrEditor-1.2.1.dmg",5
"2026-08-23T04:42Z","v1.2","MrEditor-1.2.dmg",4
"2026-08-23T04:42Z","v1.1.1","MrEditor-1.1.1.dmg",3
"2026-08-23T04:42Z","v1.1","MrEditor-1.1.dmg",2
"2026-08-23T04:42Z","v1.0.3","MrEditor-1.0.3.dmg",10
"2026-08-23T04:42Z","v1.0.2","MrEditor-1.0.2.dmg",10
"2026-08-23T04:42Z","v1.0.1","MrEditor-1.0.1.dmg",1
"2026-08-23T04:42Z","v1.0","MrEditor-1.0.dmg",5
"2026-08-23T04:42Z","v0.9","MrEditor-0.9.dmg",3
"2026-08-23T04:42Z","v0.8","MrEditor-0.8.dmg",2
"2026-08-23T04:42Z","v0.7","MrEditor-0.7.dmg",7
"2026-08-23T04:42Z","v0.6","MrEditor-0.6.dmg",4
"2026-08-23T04:42Z","v0.5","MrEditor-0.5.dmg",1
"2026-08-23T04:42Z","v0.4","MrEditor-0.4.dmg",2
"2026-08-23T04:42Z","v0.3","MrEditor-0.3.dmg",3
"2026-08-23T04:42Z","v0.2","MrEditor-0.2.dmg",2
"2026-08-23T04:42Z","v0.1","MrEditor-0.1.dmg",1
"2026-08-24T11:33Z","v1.12.5","MrEditor-1.12.5.dmg",8
"2026-08-24T11:33Z","v1.12.4","MrEditor-1.12.4.dmg",2
"2026-08-24T11:33Z","v1.12.3","MrEditor-1.12.3.dmg",9
"2026-08-24T11:33Z","v1.12.2","MrEditor-1.12.2.dmg",5
"2026-08-24T11:33Z","v1.12.1","MrEditor-1.12.1.dmg",6
"2026-08-24T11:33Z","v1.12","MrEditor-1.12.dmg",2
"2026-08-24T11:33Z","v1.11.2","MrEditor-1.11.2.dmg",4
"2026-08-24T11:33Z","v1.11.1","MrEditor-1.11.1.dmg",12
"2026-08-24T11:33Z","v1.11","MrEditor-1.11.dmg",1
"2026-08-24T11:33Z","v1.10.3","MrEditor-1.10.3.dmg",6
"2026-08-24T11:33Z","v1.10.2","MrEditor-1.10.2.dmg",6
"2026-08-24T11:33Z","v1.10.1","MrEditor-1.10.1.dmg",5
"2026-08-24T11:33Z","v1.10","MrEditor-1.10.dmg",1
"2026-08-24T11:33Z","v1.9","MrEditor-1.9.dmg",6
"2026-08-24T11:33Z","v1.8","MrEditor-1.8.dmg",4
"2026-08-24T11:33Z","v1.7.1","MrEditor-1.7.1.dmg",9
"2026-08-24T11:33Z","v1.7","MrEditor-1.7.dmg",11
"2026-08-24T11:33Z","v1.6","MrEditor-1.6.dmg",5
"2026-08-24T11:33Z","v1.5","MrEditor-1.5.dmg",3
"2026-08-24T11:33Z","v1.4","MrEditor-1.4.dmg",5
"2026-08-24T11:33Z","v1.3","MrEditor-1.3.dmg",10
"2026-08-24T11:33Z","v1.2.1","MrEditor-1.2.1.dmg",5
"2026-08-24T11:33Z","v1.2","MrEditor-1.2.dmg",4
"2026-08-24T11:33Z","v1.1.1","MrEditor-1.1.1.dmg",3
"2026-08-24T11:33Z","v1.1","MrEditor-1.1.dmg",2
"2026-08-24T11:33Z","v1.0.3","MrEditor-1.0.3.dmg",10
"2026-08-24T11:33Z","v1.0.2","MrEditor-1.0.2.dmg",10
"2026-08-24T11:33Z","v1.0.1","MrEditor-1.0.1.dmg",1
"2026-08-24T11:33Z","v1.0","MrEditor-1.0.dmg",5
"2026-08-24T11:33Z","v0.9","MrEditor-0.9.dmg",3
"2026-08-24T11:33Z","v0.8","MrEditor-0.8.dmg",2
"2026-08-24T11:33Z","v0.7","MrEditor-0.7.dmg",7
"2026-08-24T11:33Z","v0.6","MrEditor-0.6.dmg",4
"2026-08-24T11:33Z","v0.5","MrEditor-0.5.dmg",1
"2026-08-24T11:33Z","v0.4","MrEditor-0.4.dmg",2
"2026-08-24T11:33Z","v0.3","MrEditor-0.3.dmg",3
"2026-08-24T11:33Z","v0.2","MrEditor-0.2.dmg",2
"2026-08-24T11:33Z","v0.1","MrEditor-0.1.dmg",1
"2026-08-27T12:18Z","v1.12.6","MrEditor-1.12.6.dmg",0
"2026-08-27T12:18Z","v1.12.5","MrEditor-1.12.5.dmg",12
"2026-08-27T12:18Z","v1.12.4","MrEditor-1.12.4.dmg",2
"2026-08-27T12:18Z","v1.12.3","MrEditor-1.12.3.dmg",9
"2026-08-27T12:18Z","v1.12.2","MrEditor-1.12.2.dmg",5
"2026-08-27T12:18Z","v1.12.1","MrEditor-1.12.1.dmg",6
"2026-08-27T12:18Z","v1.12","MrEditor-1.12.dmg",2
"2026-08-27T12:18Z","v1.11.2","MrEditor-1.11.2.dmg",4
"2026-08-27T12:18Z","v1.11.1","MrEditor-1.11.1.dmg",12
"2026-08-27T12:18Z","v1.11","MrEditor-1.11.dmg",1
"2026-08-27T12:18Z","v1.10.3","MrEditor-1.10.3.dmg",6
"2026-08-27T12:18Z","v1.10.2","MrEditor-1.10.2.dmg",6
"2026-08-27T12:18Z","v1.10.1","MrEditor-1.10.1.dmg",5
"2026-08-27T12:18Z","v1.10","MrEditor-1.10.dmg",1
"2026-08-27T12:18Z","v1.9","MrEditor-1.9.dmg",6
"2026-08-27T12:18Z","v1.8","MrEditor-1.8.dmg",4
"2026-08-27T12:18Z","v1.7.1","MrEditor-1.7.1.dmg",9
"2026-08-27T12:18Z","v1.7","MrEditor-1.7.dmg",11
"2026-08-27T12:18Z","v1.6","MrEditor-1.6.dmg",5
"2026-08-27T12:18Z","v1.5","MrEditor-1.5.dmg",3
"2026-08-27T12:18Z","v1.4","MrEditor-1.4.dmg",5
"2026-08-27T12:18Z","v1.3","MrEditor-1.3.dmg",10
"2026-08-27T12:18Z","v1.2.1","MrEditor-1.2.1.dmg",5
"2026-08-27T12:18Z","v1.2","MrEditor-1.2.dmg",4
"2026-08-27T12:18Z","v1.1.1","MrEditor-1.1.1.dmg",3
"2026-08-27T12:18Z","v1.1","MrEditor-1.1.dmg",2
"2026-08-27T12:18Z","v1.0.3","MrEditor-1.0.3.dmg",10
"2026-08-27T12:18Z","v1.0.2","MrEditor-1.0.2.dmg",10
"2026-08-27T12:18Z","v1.0.1","MrEditor-1.0.1.dmg",1
"2026-08-27T12:18Z","v1.0","MrEditor-1.0.dmg",5
"2026-08-27T12:18Z","v0.9","MrEditor-0.9.dmg",3
"2026-08-27T12:18Z","v0.8","MrEditor-0.8.dmg",2
"2026-08-27T12:18Z","v0.7","MrEditor-0.7.dmg",7
"2026-08-27T12:18Z","v0.6","MrEditor-0.6.dmg",4
"2026-08-27T12:18Z","v0.5","MrEditor-0.5.dmg",1
"2026-08-27T12:18Z","v0.4","MrEditor-0.4.dmg",2
"2026-08-27T12:18Z","v0.3","MrEditor-0.3.dmg",3
"2026-08-27T12:18Z","v0.2","MrEditor-0.2.dmg",2
"2026-08-27T12:18Z","v0.1","MrEditor-0.1.dmg",1
"2026-08-28T12:02Z","v1.13.0","MrEditor-1.13.0.dmg",0
"2026-08-28T12:02Z","v1.12.6","MrEditor-1.12.6.dmg",2
"2026-08-28T12:02Z","v1.12.5","MrEditor-1.12.5.dmg",12
"2026-08-28T12:02Z","v1.12.4","MrEditor-1.12.4.dmg",2
"2026-08-28T12:02Z","v1.12.3","MrEditor-1.12.3.dmg",9
"2026-08-28T12:02Z","v1.12.2","MrEditor-1.12.2.dmg",5
"2026-08-28T12:02Z","v1.12.1","MrEditor-1.12.1.dmg",6
"2026-08-28T12:02Z","v1.12","MrEditor-1.12.dmg",2
"2026-08-28T12:02Z","v1.11.2","MrEditor-1.11.2.dmg",4
"2026-08-28T12:02Z","v1.11.1","MrEditor-1.11.1.dmg",12
"2026-08-28T12:02Z","v1.11","MrEditor-1.11.dmg",1
"2026-08-28T12:02Z","v1.10.3","MrEditor-1.10.3.dmg",6
"2026-08-28T12:02Z","v1.10.2","MrEditor-1.10.2.dmg",6
"2026-08-28T12:02Z","v1.10.1","MrEditor-1.10.1.dmg",5
"2026-08-28T12:02Z","v1.10","MrEditor-1.10.dmg",1
"2026-08-28T12:02Z","v1.9","MrEditor-1.9.dmg",6
"2026-08-28T12:02Z","v1.8","MrEditor-1.8.dmg",4
"2026-08-28T12:02Z","v1.7.1","MrEditor-1.7.1.dmg",9
"2026-08-28T12:02Z","v1.7","MrEditor-1.7.dmg",11
"2026-08-28T12:02Z","v1.6","MrEditor-1.6.dmg",5
"2026-08-28T12:02Z","v1.5","MrEditor-1.5.dmg",3
"2026-08-28T12:02Z","v1.4","MrEditor-1.4.dmg",5
"2026-08-28T12:02Z","v1.3","MrEditor-1.3.dmg",10
"2026-08-28T12:02Z","v1.2.1","MrEditor-1.2.1.dmg",5
"2026-08-28T12:02Z","v1.2","MrEditor-1.2.dmg",4
"2026-08-28T12:02Z","v1.1.1","MrEditor-1.1.1.dmg",3
"2026-08-28T12:02Z","v1.1","MrEditor-1.1.dmg",2
"2026-08-28T12:02Z","v1.0.3","MrEditor-1.0.3.dmg",10
"2026-08-28T12:02Z","v1.0.2","MrEditor-1.0.2.dmg",10
"2026-08-28T12:02Z","v1.0.1","MrEditor-1.0.1.dmg",1
"2026-08-28T12:02Z","v1.0","MrEditor-1.0.dmg",5
"2026-08-28T12:02Z","v0.9","MrEditor-0.9.dmg",3
"2026-08-28T12:02Z","v0.8","MrEditor-0.8.dmg",2
"2026-08-28T12:02Z","v0.7","MrEditor-0.7.dmg",7
"2026-08-28T12:02Z","v0.6","MrEditor-0.6.dmg",4
"2026-08-28T12:02Z","v0.5","MrEditor-0.5.dmg",1
"2026-08-28T12:02Z","v0.4","MrEditor-0.4.dmg",2
"2026-08-28T12:02Z","v0.3","MrEditor-0.3.dmg",3
"2026-08-28T12:02Z","v0.2","MrEditor-0.2.dmg",2
"2026-08-28T12:02Z","v0.1","MrEditor-0.1.dmg",1
"2026-08-28T15:24Z","v1.13.0","MrEditor-1.13.0.dmg",0
"2026-08-28T15:24Z","v1.12.6","MrEditor-1.12.6.dmg",2
"2026-08-28T15:24Z","v1.12.5","MrEditor-1.12.5.dmg",12
"2026-08-28T15:24Z","v1.12.4","MrEditor-1.12.4.dmg",2
"2026-08-28T15:24Z","v1.12.3","MrEditor-1.12.3.dmg",9
"2026-08-28T15:24Z","v1.12.2","MrEditor-1.12.2.dmg",5
"2026-08-28T15:24Z","v1.12.1","MrEditor-1.12.1.dmg",6
"2026-08-28T15:24Z","v1.12","MrEditor-1.12.dmg",2
"2026-08-28T15:24Z","v1.11.2","MrEditor-1.11.2.dmg",4
"2026-08-28T15:24Z","v1.11.1","MrEditor-1.11.1.dmg",12
"2026-08-28T15:24Z","v1.11","MrEditor-1.11.dmg",1
"2026-08-28T15:24Z","v1.10.3","MrEditor-1.10.3.dmg",6
"2026-08-28T15:24Z","v1.10.2","MrEditor-1.10.2.dmg",6
"2026-08-28T15:24Z","v1.10.1","MrEditor-1.10.1.dmg",5
"2026-08-28T15:24Z","v1.10","MrEditor-1.10.dmg",1
"2026-08-28T15:24Z","v1.9","MrEditor-1.9.dmg",6
"2026-08-28T15:24Z","v1.8","MrEditor-1.8.dmg",4
"2026-08-28T15:24Z","v1.7.1","MrEditor-1.7.1.dmg",9
"2026-08-28T15:24Z","v1.7","MrEditor-1.7.dmg",11
"2026-08-28T15:24Z","v1.6","MrEditor-1.6.dmg",5
"2026-08-28T15:24Z","v1.5","MrEditor-1.5.dmg",3
"2026-08-28T15:24Z","v1.4","MrEditor-1.4.dmg",5
"2026-08-28T15:24Z","v1.3","MrEditor-1.3.dmg",10
"2026-08-28T15:24Z","v1.2.1","MrEditor-1.2.1.dmg",5
"2026-08-28T15:24Z","v1.2","MrEditor-1.2.dmg",4
"2026-08-28T15:24Z","v1.1.1","MrEditor-1.1.1.dmg",3
"2026-08-28T15:24Z","v1.1","MrEditor-1.1.dmg",2
"2026-08-28T15:24Z","v1.0.3","MrEditor-1.0.3.dmg",10
"2026-08-28T15:24Z","v1.0.2","MrEditor-1.0.2.dmg",10
"2026-08-28T15:24Z","v1.0.1","MrEditor-1.0.1.dmg",1
"2026-08-28T15:24Z","v1.0","MrEditor-1.0.dmg",5
"2026-08-28T15:24Z","v0.9","MrEditor-0.9.dmg",3
"2026-08-28T15:24Z","v0.8","MrEditor-0.8.dmg",2
"2026-08-28T15:24Z","v0.7","MrEditor-0.7.dmg",7
"2026-08-28T15:24Z","v0.6","MrEditor-0.6.dmg",4
"2026-08-28T15:24Z","v0.5","MrEditor-0.5.dmg",1
"2026-08-28T15:24Z","v0.4","MrEditor-0.4.dmg",2
"2026-08-28T15:24Z","v0.3","MrEditor-0.3.dmg",3
"2026-08-28T15:24Z","v0.2","MrEditor-0.2.dmg",2
"2026-08-28T15:24Z","v0.1","MrEditor-0.1.dmg",1
"2026-08-29T10:07Z","v1.13.0","MrEditor-1.13.0.dmg",1
"2026-08-29T10:07Z","v1.12.6","MrEditor-1.12.6.dmg",2
"2026-08-29T10:07Z","v1.12.5","MrEditor-1.12.5.dmg",12
"2026-08-29T10:07Z","v1.12.4","MrEditor-1.12.4.dmg",2
"2026-08-29T10:07Z","v1.12.3","MrEditor-1.12.3.dmg",9
"2026-08-29T10:07Z","v1.12.2","MrEditor-1.12.2.dmg",5
"2026-08-29T10:07Z","v1.12.1","MrEditor-1.12.1.dmg",6
"2026-08-29T10:07Z","v1.12","MrEditor-1.12.dmg",2
"2026-08-29T10:07Z","v1.11.2","MrEditor-1.11.2.dmg",4
"2026-08-29T10:07Z","v1.11.1","MrEditor-1.11.1.dmg",12
"2026-08-29T10:07Z","v1.11","MrEditor-1.11.dmg",1
"2026-08-29T10:07Z","v1.10.3","MrEditor-1.10.3.dmg",6
"2026-08-29T10:07Z","v1.10.2","MrEditor-1.10.2.dmg",6
"2026-08-29T10:07Z","v1.10.1","MrEditor-1.10.1.dmg",5
"2026-08-29T10:07Z","v1.10","MrEditor-1.10.dmg",1
"2026-08-29T10:07Z","v1.9","MrEditor-1.9.dmg",6
"2026-08-29T10:07Z","v1.8","MrEditor-1.8.dmg",4
"2026-08-29T10:07Z","v1.7.1","MrEditor-1.7.1.dmg",9
"2026-08-29T10:07Z","v1.7","MrEditor-1.7.dmg",11
"2026-08-29T10:07Z","v1.6","MrEditor-1.6.dmg",5
"2026-08-29T10:07Z","v1.5","MrEditor-1.5.dmg",3
"2026-08-29T10:07Z","v1.4","MrEditor-1.4.dmg",5
"2026-08-29T10:07Z","v1.3","MrEditor-1.3.dmg",10
"2026-08-29T10:07Z","v1.2.1","MrEditor-1.2.1.dmg",5
"2026-08-29T10:07Z","v1.2","MrEditor-1.2.dmg",4
"2026-08-29T10:07Z","v1.1.1","MrEditor-1.1.1.dmg",3
"2026-08-29T10:07Z","v1.1","MrEditor-1.1.dmg",2
"2026-08-29T10:07Z","v1.0.3","MrEditor-1.0.3.dmg",10
"2026-08-29T10:07Z","v1.0.2","MrEditor-1.0.2.dmg",10
"2026-08-29T10:07Z","v1.0.1","MrEditor-1.0.1.dmg",1
"2026-08-29T10:07Z","v1.0","MrEditor-1.0.dmg",5
"2026-08-29T10:07Z","v0.9","MrEditor-0.9.dmg",3
"2026-08-29T10:07Z","v0.8","MrEditor-0.8.dmg",2
"2026-08-29T10:07Z","v0.7","MrEditor-0.7.dmg",7
"2026-08-29T10:07Z","v0.6","MrEditor-0.6.dmg",4
"2026-08-29T10:07Z","v0.5","MrEditor-0.5.dmg",1
"2026-08-29T10:07Z","v0.4","MrEditor-0.4.dmg",2
"2026-08-29T10:07Z","v0.3","MrEditor-0.3.dmg",3
"2026-08-29T10:07Z","v0.2","MrEditor-0.2.dmg",2
"2026-08-29T10:07Z","v0.1","MrEditor-0.1.dmg",1
"2026-08-30T05:01Z","v1.14.0","MrEditor-1.14.0.dmg",0
"2026-08-30T05:01Z","v1.13.0","MrEditor-1.13.0.dmg",1
"2026-08-30T05:01Z","v1.12.6","MrEditor-1.12.6.dmg",2
"2026-08-30T05:01Z","v1.12.5","MrEditor-1.12.5.dmg",12
"2026-08-30T05:01Z","v1.12.4","MrEditor-1.12.4.dmg",2
"2026-08-30T05:01Z","v1.12.3","MrEditor-1.12.3.dmg",9
"2026-08-30T05:01Z","v1.12.2","MrEditor-1.12.2.dmg",5
"2026-08-30T05:01Z","v1.12.1","MrEditor-1.12.1.dmg",6
"2026-08-30T05:01Z","v1.12","MrEditor-1.12.dmg",2
"2026-08-30T05:01Z","v1.11.2","MrEditor-1.11.2.dmg",4
"2026-08-30T05:01Z","v1.11.1","MrEditor-1.11.1.dmg",12
"2026-08-30T05:01Z","v1.11","MrEditor-1.11.dmg",1
"2026-08-30T05:01Z","v1.10.3","MrEditor-1.10.3.dmg",6
"2026-08-30T05:01Z","v1.10.2","MrEditor-1.10.2.dmg",6
"2026-08-30T05:01Z","v1.10.1","MrEditor-1.10.1.dmg",5
